yyyy,mm,yearmonth,SOI,NAO,EA,WP,EP_NP,PNA,EA_WR,SCA,TNH,POL,PT,expl_var,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
1952,12,195212,-1.2,-0.49,-1.31,0.71,-99.9,0.63,-0.26,0.85,-1.89,0.61,-99.9,76,2.86,37,0.46,-0.72,-0.02,0.21,0,872,-0.22,0.94,0.12,0.04,0.05,0.48,0.09,27.6,46.3
1953,1,195301,0.3,-0.12,-2.69,-1.24,0.24,0.18,0.84,-0.09,-0.74,-0.06,-99.9,68.6,3.41,39.9,0.44,-0.62,0.07,0.34,2,781,0.27,-0.02,0.84,0.28,-0.18,0.21,0.26,30.2,49.6
1953,2,195302,-0.5,-1,-1.34,1.38,-1.51,1.04,-0.25,-0.61,1.04,1.09,-99.9,84.1,3.22,40.9,0.37,-0.57,-0.05,0.35,0,670,0.27,0.29,0.1,0.01,-0.17,0.32,0.33,29.9,51.9
1953,3,195303,-0.2,-0.45,-1.02,0.58,-2.29,-0.44,1.73,-1.16,-99.9,2.08,-99.9,75.5,4.66,45.9,0.7,0.7,1.08,0.7,0,595,0.71,0.65,0.6,0.46,0.26,0.22,0.43,35,56.8
1953,4,195304,0.2,-1.96,-0.02,-1.86,-0.07,0.78,-1.66,-0.19,-99.9,-0.01,-99.9,63.8,3.13,53.9,-0.07,-0.07,-0.22,0.55,2,330,-0.12,0.37,0.42,0.82,0.42,-0.06,0.36,41.9,65.8
1953,5,195305,-1.7,-0.56,-1.54,-0.51,-0.63,1.14,0.09,-0.53,-99.9,-0.81,-99.9,58,3.98,68.5,-0.35,-0.35,-0.86,-0.35,150,39,0.09,-0.02,0.33,0.23,0.19,-0.02,0.55,56.6,80.3
1953,6,195306,0.1,1.41,-1.32,-0.57,3.88,-1.6,-0.71,1.6,-99.9,-1.73,-99.9,55.8,3.92,72.3,-0.29,-0.29,0.08,-0.29,227,3,0.06,0.06,-0.06,0.31,0.32,0.14,0.19,60.7,84
1953,7,195307,0,0.43,0.74,-1.1,0.99,0.27,-0.71,-1.58,-99.9,-0.42,-99.9,45.6,2.34,76,-1.27,-1.27,-3.03,-1.27,366,0,-1.89,-1.21,-0.84,-0.42,0.2,-0.05,0.03,63.4,88.7
1953,8,195308,-1.2,-1.04,0.01,1.04,-0.54,-1.15,-1.41,0.32,-99.9,-1.4,-0.49,41.9,2.97,73.9,-1.86,-1.86,-2.18,-1.86,292,0,-0.72,-1.59,-1.34,-0.78,-0.64,-0.49,0.03,61.1,86.7
1953,9,195309,-1.2,-0.19,-0.24,-0.86,0.12,-0.14,0.58,0.24,-99.9,1.25,0.57,52.3,2.69,67.1,-2.2,-2.2,-1.59,-2.2,117,40,-0.27,-0.84,-1.57,-1.13,-0.72,-0.55,0.09,53.5,80.7
